%    T1-H1  T1-H2  T1-H3  T2-H1  T2-H2  T2-H3  T3-H1  T3-H2  T3-H3  T4-H1  T4-H2  T4-H3  T5-H1  T5-H2  T5-H3
      1.00  -0.30   1.05  -0.51  -0.40   0.37   0.40   0.39  -0.29  -0.63   0.19  -0.32  -0.44   0.40  -0.95
     -0.22  -0.15   0.56  -0.28  -0.37   0.35  -0.19   0.50  -0.41  -1.49   0.21  -0.65  -0.38   0.47  -0.88
      0.96  -0.02   1.05   0.63  -0.31   0.70  -0.75   0.65  -0.51  -2.04   0.24  -0.90  -0.43   0.52  -0.77
      0.21   0.08   0.76  -0.30  -0.27   0.25  -1.40   0.75  -0.64  -1.05   0.20  -0.33  -0.58   0.57  -0.61
     -0.65   0.23   0.48   0.36  -0.15   0.52  -0.04   0.85   0.15  -1.86   0.26  -0.69  -0.57   0.63  -0.41
      0.65   0.35   1.02  -0.80  -0.07  -0.03  -0.28   0.89   0.22  -0.58   0.18   0.02  -0.13   0.65   0.11
      0.16   0.54   0.77   0.51   0.16   0.48  -0.63   0.94   0.30  -1.26   0.25  -0.20  -1.63   0.73  -0.45
     -0.45   0.70   0.49  -0.58   0.27  -0.02  -0.84   0.94   0.41  -1.76   0.26  -0.36  -1.24   0.70   0.02
     -1.14   0.85   0.16   0.63   0.49   0.57  -0.84   0.97   0.56  -0.41   0.16   0.40  -0.44   0.66   0.62
      0.40   0.98   0.96  -0.20   0.56   0.12  -0.32   0.96   0.96  -1.21   0.14   0.11  -1.98   0.74   0.06
      0.10   1.12   0.78  -0.84   0.68  -0.18   0.20   0.93   1.37  -2.13   0.10  -0.25  -0.86   0.61   0.79
     -0.33   1.22   0.59   0.63   0.85   0.59  -1.61   1.00   0.66  -0.62  -0.05   0.58  -2.09   0.65   0.35
     -0.72   1.30   0.35  -0.39   0.91   0.17  -0.49   0.92   1.33  -1.67  -0.12   0.17  -0.60   0.45   1.22
     -0.94   1.33   0.30  -0.91   0.93  -0.04  -2.05   0.89   0.68   0.00  -0.33   0.98  -1.52   0.39   0.89
     -1.09   1.38   0.14   0.64   1.07   0.74  -0.50   0.78   1.47  -0.78  -0.42   0.70  -2.44   0.31   0.59
     -1.24   1.42   0.05   0.18   1.10   0.53  -1.62   0.73   1.00  -1.39  -0.52   0.51  -0.49   0.03   1.51
     -1.02   1.34   0.13  -0.19   1.08   0.39  -0.02   0.55   1.79  -1.91  -0.61   0.35  -1.55  -0.05   1.13
     -0.86   1.31   0.18  -0.12   1.09   0.51  -1.01   0.49   1.32  -0.20  -0.87   1.10  -2.52  -0.13   0.74
     -0.48   1.24   0.32   0.08   1.03   0.60  -2.06   0.39   0.83  -0.74  -0.98   0.96  -0.32  -0.42   1.69
      0.12   1.10   0.56   0.62   0.98   0.94   0.14   0.18   1.75  -1.28  -1.07   0.86  -1.25  -0.50   1.27
      0.47   0.96   0.68  -1.28   0.82  -0.04  -0.84   0.03   1.25  -1.88  -1.14   0.70  -2.10  -0.57   0.93
     -1.17   0.72  -0.21  -0.43   0.70   0.41  -1.45  -0.09   0.89   0.11  -1.45   1.45   0.34  -0.89   1.90
     -0.78   0.51  -0.03   0.10   0.54   0.68   1.07  -0.38   1.83  -0.49  -1.49   1.29  -0.33  -0.97   1.60
      0.04   0.20   0.27   0.97   0.35   0.99   0.27  -0.55   1.36  -0.97  -1.56   1.18  -1.04  -1.04   1.27
      0.78  -0.09   0.51  -0.56   0.08   0.15  -0.31  -0.71   0.97  -1.75  -1.56   0.94  -1.77  -1.13   0.92
     -0.71  -0.40  -0.34   0.82  -0.09   0.56  -1.02  -0.91   0.53  -2.07  -1.57   0.88   0.78  -1.39   1.76
