%    T1-P1  T1-P2  T1-P3  T2-P1  T2-P2  T2-P3  T3-P1  T3-P2  T3-P3  T4-P1  T4-P2  T4-P3  T5-P1  T5-P2  T5-P3
     -0.42   0.18   0.39   0.14   0.09  -0.06   0.27   0.08   1.21   0.50  -0.44   0.57   0.47  -0.16   1.23
     -0.52   0.14   0.35  -0.01   0.04  -0.08   0.11   0.06   1.14   0.68  -0.35   0.51   0.27  -0.15   1.17
     -0.77   0.17   0.32  -0.18   0.03  -0.09   0.11   0.05   1.09   0.67  -0.37   0.48   0.25  -0.09   1.14
     -0.86   0.10   0.30  -0.15   0.00  -0.09   0.06   0.11   1.05   0.12  -0.26   0.46   0.13  -0.01   1.10
     -1.17   0.07   0.27  -0.45  -0.01  -0.10   0.10   0.14   1.00   0.46  -0.13   0.43   0.25   0.10   1.06
     -1.35   0.06   0.25  -0.66   0.00  -0.11  -0.09   0.25   0.96   0.29  -0.14   0.41   0.02   0.24   1.02
     -1.32   0.14   0.22  -0.73   0.02  -0.12  -0.09   0.39   0.91   0.17   0.03   0.39  -0.07   0.24   0.97
     -1.30   0.13   0.21  -0.87   0.01  -0.12  -0.08   0.51   0.88   0.03   0.03   0.38  -0.04   0.40   0.94
     -1.36   0.14   0.19  -0.98   0.01  -0.12  -0.10   0.70   0.85  -0.08   0.21   0.37  -0.14   0.58   0.90
     -1.24   0.27   0.17  -0.96   0.04  -0.12  -0.08   0.87   0.81   0.11   0.38   0.37  -0.17   0.76   0.87
     -1.21   0.21   0.15  -0.91   0.05  -0.12  -0.05   0.93   0.79   0.08   0.38   0.36  -0.23   0.87   0.83
     -1.22   0.26   0.14  -0.98   0.14  -0.11   0.02   1.06   0.76   0.08   0.52   0.37  -0.08   0.88   0.80
     -1.05   0.29   0.12  -0.85   0.13  -0.11  -0.02   1.16   0.72   0.02   0.64   0.37  -0.03   1.01   0.77
     -0.99   0.41   0.10  -0.82   0.20  -0.11   0.03   1.17   0.68   0.11   0.65   0.38   0.10   1.01   0.73
     -1.25   0.40   0.08  -0.98   0.16  -0.11  -0.06   1.16   0.63  -0.03   0.77   0.38   0.06   1.08   0.69
     -1.16   0.38   0.08  -0.86   0.22  -0.09  -0.11   1.21   0.60   0.18   0.77   0.39   0.13   1.17   0.67
     -1.00   0.46   0.07  -0.68   0.25  -0.08  -0.07   1.22   0.57   0.19   0.86   0.41   0.11   1.17   0.65
     -0.97   0.50   0.05  -0.63   0.29  -0.08  -0.07   1.14   0.51   0.21   0.87   0.41   0.04   1.22   0.61
     -0.82   0.53   0.04  -0.59   0.30  -0.07  -0.10   1.14   0.47   0.26   0.93   0.41  -0.02   1.19   0.58
     -0.84   0.56   0.03  -0.50   0.36  -0.07  -0.06   1.16   0.43   0.09   0.94   0.41  -0.11   1.21   0.55
     -0.80   0.60   0.01  -0.49   0.42  -0.06   0.01   1.20   0.40   0.00   0.96   0.42  -0.03   1.24   0.53
     -0.63   0.66   0.01  -0.34   0.51  -0.05   0.15   1.21   0.36   0.06   0.99   0.43   0.07   1.25   0.49
     -0.77   0.74   0.01  -0.50   0.60  -0.04   0.03   1.26   0.32  -0.08   1.01   0.44   0.05   1.29   0.47
     -0.47   0.82  -0.02  -0.28   0.58  -0.05   0.02   1.27   0.28  -0.12   1.05   0.45   0.04   1.31   0.43
